Customer ID;expected_loss_L;budget_anchor_B;sensitivity_beta
84966;3055.025;3527.05;0.0007200589349610608
95568;5851.77;2708.4;0.0007918740291779612
10544;5804.445;3694.9500000000003;0.00070691042763301
77033;5908.6125;3169.05;0.0007497952450714625
88160;2748.795;1939.7;0.000873695317593134
60937;4756.3083333333325;4359.400000000001;0.0006592692141897203
37676;5033.908333333334;4744.55;0.0006344832298621686
54100;3142.4775;3050.15;0.0007602222222222224
30476;2129.4866666666667;5812.450000000001;0.0005745869540234966
39071;4677.18;2454.15;0.0008171863213477495
38477;6741.5475;3104.9500000000003;0.0007553807177389364
38329;5181.866666666667;5534.900000000001;0.0005890391717075602
6580;2496.6666666666665;4515.05;0.0006490229557958642
67128;2300.9083333333333;1232.4;0.0009654870214267146
34814;2993.5425;5250.450000000001;0.0006046249872096592
86048;5384.393333333333;1489.15;0.0009300186006581772
24881;3891.305833333334;5711.8;0.0005797451757769819
24076;7226.887500000001;5367.950000000001;0.0005980879294797475
38654;6523.59;2461.2000000000003;0.000816462652539552
47840;6482.516666666666;5863.200000000001;0.0005720207162689594
88939;1686.1833333333332;3694.4500000000003;0.0007069488704958506
76694;5549.13;2592.2000000000003;0.000803245160373453
50165;9103.352499999999;5187.650000000001;0.0006081777777777777
44730;1831.74;5875.200000000001;0.0005714172684955231
9015;7123.666666666666;1368.2;0.0009463967210489149
62346;2814.36;5396.5;0.0005965208533132654
64156;4314.8875;4482.0;0.0006511718769566763
86289;4645.316666666667;6701.75;0.0005327088250721216
88530;1362.8666666666666;5898.35;0.0005702567071993824
9099;2727.32;2394.8;0.0008233297232936229
63711;1225.1166666666666;1215.65;0.0009678951678951679
82780;2199.725;5382.1;0.0005973102247299428
63407;7456.8499999999985;2664.9500000000003;0.0007960880854399372
52061;938.9466666666667;6066.75;0.000561954247574914
11966;724.8833333333333;1839.0500000000002;0.0008856776901170475
16809;9538.22;5259.55;0.0006041136122832128
70594;3471.8749999999995;4948.200000000001;0.000622116088648121
32721;2955.0;4501.8;0.0006498827693430584
8513;1155.3466666666666;5905.400000000001;0.000569904210780123
76143;2266.825;3695.3500000000004;0.0007068796763528797
4733;5916.041666666666;3348.3;0.0007346055390109797
41370;5877.946666666667;3675.05;0.0007084436887595505
76973;7014.003333333333;3243.75;0.0007433894505695594
35026;1061.7133333333331;7276.75;0.00050873471815663
86002;2763.8325;7244.400000000001;0.0005100260901975401
3173;826.8108333333334;4681.55;0.0006384092560944467
31548;4312.56;2310.55;0.0008322108982894603
37925;1567.7375000000002;3643.0;0.0007109271179118108
66962;1941.12;6172.700000000001;0.0005568534724631722
97147;3360.65;5849.150000000001;0.0005727288747907304
61190;3175.5499999999997;7317.400000000001;0.000507121262361271
34601;4223.325;3303.4;0.0007383523130661972
93395;7436.916666666666;3184.15;0.0007484914785812989
8965;2752.9;2066.4;0.0008590649264827359
86159;5208.91;3541.75;0.0007188882498672802
10037;4457.6;2296.4500000000003;0.0008337159934840886
89689;1519.025;1756.3000000000002;0.0008957780641249148
64170;601.6416666666667;7432.75;0.0005025980854584538
64942;2658.558333333333;4632.1;0.0006415250766140773
77788;7998.949999999999;2004.9;0.0008661048002931476
75750;7887.036666666667;3266.8500000000004;0.0007414306409481333
